,regular_datetime,accruedToTreasury,availableLiquidity,averageStableBorrowRate,liquidityIndex,liquidityRate,priceInEth,priceInUsd,stableBorrowRate,timestamp,totalATokenSupply,totalCurrentVariableDebt,totalLiquidity,totalPrincipalStableDebt,totalScaledVariableDebt,utilizationRate,variableBorrowIndex,variableBorrowRate,reserve_decimals,reserve_name,reserve_pool,true_value
13,2023-01-27 21:00:00+00:00,1.6470839179380563,125320.6483109768,0.0,1.000099496278401,0.0045301878994459,100042643.0,100042643.0,0.0519830417983049,1674853715.0,183560.9153043215,58241.96043716357,183545.6242713563,0.0,58234.8477932155,0.31722344,1.0001224311111103,0.0158643343864397,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
14,2023-01-27 22:00:00+00:00,1.6470839179380563,125320.6483109768,0.0,1.000099496278401,0.0045301878994459,100042643.0,100042643.0,0.0519830417983049,1674853715.0,183560.9153043215,58241.96043716357,183545.6242713563,0.0,58234.8477932155,0.31722344,1.0001224311111103,0.0158643343864397,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
15,2023-01-27 23:00:00+00:00,1.6470839179380563,66297.94511429772,0.0,1.0001004599873042,0.0156537443356637,100008817.0,100008817.0,0.0536862338145889,1674860975.0,183561.0920685715,117264.93316910304,183545.6242713563,0.0,117250.12186741202,0.6387931,1.0001258060211649,0.0294898705167118,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
16,2023-01-28 00:00:00+00:00,1.6470839179380563,0.0,0.0,1.0001044639055447,0.7110000000000001,99997177.0,99997177.0,0.805,1674867359.0,119794.46177370216,119796.2162452129,119778.25957463394,0.0,119780.36749531374,1.0,1.0001327993982323,0.7899999999999999,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
17,2023-01-28 01:00:00+00:00,2.654710614664523,9984.236940150447,0.0,1.000168729778692,0.4166500222612848,100008485.0,100008485.0,0.5165251094603923,1674870407.0,129786.39851534608,119796.2162452129,129762.49651478438,0.0,119780.36749531374,0.9230576,1.0002042756565543,0.5015251094603924,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
18,2023-01-28 02:00:00+00:00,2.906512740518933,20046.039928376205,0.0,1.000186013840817,0.1946687914748134,100008485.0,100008485.0,0.2674895279563422,1674871715.0,139850.44287218142,119796.2162452129,139824.29950301014,0.0,119780.36749531374,0.85663407,1.0002250815820364,0.2524895279563422,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
19,2023-01-28 03:00:00+00:00,3.335165296500472,236168.52721961116,0.0,1.0002130937755551,0.0050975185545959,99970954.0,99970954.0,0.0521035515921566,1674878111.0,355976.78615118534,119796.2162452129,355946.78679424507,0.0,119780.36749531374,0.33650608,1.0002608757416729,0.0168284127372527,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
20,2023-01-28 04:00:00+00:00,3.335165296500472,236168.52721961116,0.0,1.0002130937755551,0.0050975185545959,99970954.0,99970954.0,0.0521035515921566,1674878111.0,355976.78615118534,119796.2162452129,355946.78679424507,0.0,119780.36749531374,0.33650608,1.0002608757416729,0.0168284127372527,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
21,2023-01-28 05:00:00+00:00,3.335165296500472,235971.52721961116,0.0,1.0002130937755551,0.0050975185545959,100018739.0,100018739.0,0.0521035515921566,1674883223.0,355976.78615118534,120008.94212128088,355946.78679424507,0.0,119977.31557894209,0.33705953,1.0002608757416729,0.0168284127372527,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
22,2023-01-28 06:00:00+00:00,3.335165296500472,19971.162281674377,0.0,1.0002144497103456,0.1967437768939605,99985111.0,99985111.0,0.2699829212583532,1674886487.0,139976.90347131866,120008.94212128088,139946.42185630833,0.0,119977.31557894209,0.85729422,1.0002653494323848,0.2549829212583532,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
23,2023-01-28 07:00:00+00:00,3.335165296500472,19971.162281674377,0.0,1.0002144497103456,0.1967437768939605,99985111.0,99985111.0,0.2699829212583532,1674886487.0,139976.90347131866,120008.94212128088,139946.42185630833,0.0,119977.31557894209,0.85729422,1.0002653494323848,0.2549829212583532,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
24,2023-01-28 08:00:00+00:00,4.257209104252774,34971.16228167438,0.0,1.000270310567473,0.0269837533466994,100098196.0,100098196.0,0.0548397724122466,1674895439.0,154984.71583424706,120008.94212128088,154946.42185630833,0.0,119977.31557894209,0.77430158,1.0003377522552848,0.0387181792979728,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
25,2023-01-28 09:00:00+00:00,4.32179626029669,36194.14100577423,0.0,1.0002740566287505,0.026562963584023,100016287.0,100016287.0,0.0548018879736132,1674899831.0,156208.27559853604,120008.94212128088,156169.40058040817,0.0,119977.31557894209,0.76823794,1.0003431370078115,0.0384151037889056,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
26,2023-01-28 10:00:00+00:00,4.32179626029669,36194.14100577423,0.0,1.0002740566287505,0.026562963584023,100016287.0,100016287.0,0.0548018879736132,1674899831.0,156208.27559853604,120008.94212128088,156169.40058040817,0.0,119977.31557894209,0.76823794,1.0003431370078115,0.0384151037889056,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
27,2023-01-28 11:00:00+00:00,4.392653895866712,38944.14100577423,0.0,1.0002781412475896,0.0256519268421767,99972962.0,99972962.0,0.0547188237523832,1674904679.0,158958.91305147388,120008.94212128088,158919.40058040817,0.0,119977.31557894209,0.75494407,1.000349044569892,0.0377505900190659,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
28,2023-01-28 12:00:00+00:00,4.392653895866712,38944.14100577423,0.0,1.0002781412475896,0.0256519268421767,99972962.0,99972962.0,0.0547188237523832,1674904679.0,158958.91305147388,120008.94212128088,158919.40058040817,0.0,119977.31557894209,0.75494407,1.000349044569892,0.0377505900190659,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
29,2023-01-28 13:00:00+00:00,4.392653895866712,17090.892511696675,0.0,1.0002835991682484,0.2541195707187819,99971340.0,99971340.0,0.3375624939684036,1674911387.0,137106.53132542118,120008.94212128088,137066.1520863306,0.0,119977.31557894209,0.87530916,1.0003570773059287,0.3225624939684036,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
30,2023-01-28 14:00:00+00:00,5.103908109288406,69084.48924229192,0.0,1.0003238751656307,0.018127284757698,99975991.0,99975991.0,0.0539667984875787,1674916559.0,189105.66001819904,120008.94212128088,189059.74881692583,0.0,119977.31557894209,0.63458911,1.000408345490135,0.0317343879006303,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
31,2023-01-28 15:00:00+00:00,5.1285395284566055,136084.48924229192,0.0,1.0003250481627672,0.0096559574591208,99979929.0,99979929.0,0.0528951524168164,1674920795.0,259105.8816195496,123026.7477508722,259059.74881692583,0.0,122976.08005004066,0.47469844,1.0004103991638185,0.0231612193345313,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
32,2023-01-28 16:00:00+00:00,5.174631036361379,137553.1215771825,0.0,1.0003266501532817,0.0101507291882764,99977351.0,99977351.0,0.0529683997144628,1674923639.0,261972.770563728,124424.67414929566,261926.22308632176,0.0,124373.34533388467,0.4748402,1.0004141710172605,0.023747197715703,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
33,2023-01-28 17:00:00+00:00,5.174631036361379,137553.1215771825,0.0,1.0003266501532817,0.0101507291882764,99977351.0,99977351.0,0.0529683997144628,1674923639.0,261972.770563728,124424.67414929566,261926.22308632176,0.0,124373.34533388467,0.4748402,1.0004141710172605,0.023747197715703,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
34,2023-01-28 18:00:00+00:00,5.174631036361379,136330.57506786328,0.0,1.0003287018267426,0.0102461867004073,99987953.0,99987953.0,0.0529823244774081,1674930011.0,260750.76100473723,124424.67414929566,260703.6765770025,0.0,124373.34533388467,0.47706692,1.0004189712512197,0.0238585958192655,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
35,2023-01-28 19:00:00+00:00,5.174631036361379,136330.57506786328,0.0,1.0003287018267426,0.0102461867004073,99987953.0,99987953.0,0.0529823244774081,1674930011.0,260750.76100473723,124424.67414929566,260703.6765770025,0.0,124373.34533388467,0.47706692,1.0004189712512197,0.0238585958192655,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
36,2023-01-28 20:00:00+00:00,5.174631036361379,136330.57506786328,0.0,1.0003287018267426,0.0102461867004073,99987953.0,99987953.0,0.0529823244774081,1674930011.0,260750.76100473723,124424.67414929566,260703.6765770025,0.0,124373.34533388467,0.47706692,1.0004189712512197,0.0238585958192655,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
37,2023-01-28 21:00:00+00:00,5.174631036361379,136330.57506786328,0.0,1.0003287018267426,0.0102461867004073,99987953.0,99987953.0,0.0529823244774081,1674930011.0,260750.76100473723,124424.67414929566,260703.6765770025,0.0,124373.34533388467,0.47706692,1.0004189712512197,0.0238585958192655,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
38,2023-01-28 22:00:00+00:00,5.174631036361379,136330.57506786328,0.0,1.0003287018267426,0.0102461867004073,99987953.0,99987953.0,0.0529823244774081,1674930011.0,260750.76100473723,124424.67414929566,260703.6765770025,0.0,124373.34533388467,0.47706692,1.0004189712512197,0.0238585958192655,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
39,2023-01-28 23:00:00+00:00,5.174631036361379,125844.67728980246,0.0,1.000334399946606,0.0110786074038143,99994665.0,99994665.0,0.053101104110587,1674949919.0,250766.34754139048,124927.33713855477,250717.7787989417,0.0,124873.12837270107,0.49806241,1.0004322407691997,0.0248088328846965,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
40,2023-01-29 00:00:00+00:00,5.174631036361379,60243.20101499926,0.0,1.000335914599383,0.0247712237499925,99989472.0,99989472.0,0.0546371109965247,1674952679.0,235765.74319277235,175528.1990208689,235716.796590981,0.0,175451.58919963526,0.7444255,1.0004356127253593,0.037096887972198,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
41,2023-01-29 01:00:00+00:00,5.174631036361379,60243.20101499926,0.0,1.000335914599383,0.0247712237499925,99989472.0,99989472.0,0.0546371109965247,1674952679.0,235765.74319277235,175528.1990208689,235716.796590981,0.0,175451.58919963526,0.7444255,1.0004356127253593,0.037096887972198,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
